,engineRpm,speedMps,fuelRangeM,throttlePercentage,brakePercentage,steeringPercentage,parkingBrake,highBeamSignal,drivingMode,errorCode,gearLocation,header_timestampSec,header_moduleName,signal_turnSignal,angularVelocityVrf_z,realSteeringAngle,batterySoc,cmdDrivingMode,driveMotorTorqueNm,batteryVoltage,batteryCurrent,enableButton,disableButton,batch
62,1085,3.2526,0,0,0,0.0666666701,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.625556,had-canbus,TURN_NONE,0,0.5,100,0.0,9,556.4,1.9,False,False,0.0
63,1083,3.2526,0,0,0,0.0666666701,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.635545,had-canbus,TURN_NONE,0,0.5,100,0.0,9,556.4,1.9,False,False,0.0
64,1081,3.2526,0,0,0,0.0666666701,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.6455379,had-canbus,TURN_NONE,0,0.5,100,0.0,12,556.4,1.9,False,False,0.0
65,1080,3.2526,0,0,0,0.0666666701,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.65555,had-canbus,TURN_NONE,0,0.5,100,0.0,10,556.4,1.9,False,False,0.0
66,1078,3.2526,0,0,0,0.0666666701,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.665592,had-canbus,TURN_NONE,0,0.5,100,0.0,10,556.4,1.9,False,False,0.0
67,1076,3.2526,0,0,0,0.0666666701,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.675493,had-canbus,TURN_NONE,0,0.5,100,0.0,11,556.4,1.9,False,False,0.0
68,1075,3.23696256,0,0,0,0.0666666701,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.6855369,had-canbus,TURN_NONE,0,0.5,100,0.0,13,556.4,1.9,False,False,0.0
69,1074,3.23696256,0,0,0,0.0666666701,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.695503,had-canbus,TURN_NONE,0,0.5,100,0.0,11,556.4,1.9,False,False,0.0
70,1073,3.23696256,0,0,0,0.0533333346,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.705529,had-canbus,TURN_NONE,0,0.4,100,0.0,11,556.4,1.9,False,False,0.0
71,1072,3.23696256,0,0,0,0.0533333346,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.715549,had-canbus,TURN_NONE,0,0.4,100,0.0,14,556.4,1.9,False,False,0.0
72,1072,3.23696256,0,0,0,0.0533333346,False,False,COMPLETE_MANUAL,THROTTLE_INTERVENTION,GEAR_DRIVE,1669108869.7255828,had-canbus,TURN_NONE,0,0.4,100,0.0,12,556.4,1.9,False,False,0.0
